id,预测,真实标签
120986093_1773162352600000,other_obstacle,curb_like
121087821_1773195641300000,other_obstacle,wheel_stop
121775766_1773322703700000,aligned,misaligned
121795422_1773333677800000,curb_like,wheel_stop
122201869_1773406442900000,wheel_stop,other_obstacle
122215470_1773409353200000,aligned,misaligned
122215470_1773409353200000,other_obstacle,ground_irregularity
122372774_1773460809000000,aligned,misaligned
123585585_1773715313500000,aligned,misaligned
123587809_1773715602400000,aligned,misaligned
123662858_1773727130400000,aligned,misaligned
123666482_1773727563100000,aligned,misaligned
123821649_1773746166100000,aligned,misaligned
123874591_1773760249400000,aligned,misaligned
123874591_1773760254000000,aligned,misaligned
123874591_1773760254000000,wheel_stop,other_obstacle
123886276_1773760695300000,misaligned,aligned
123968936_1773797826952585,ground_irregularity,other_obstacle
123968936_1773797829400000,aligned,misaligned
123997929_1773801815851432,other_obstacle,ground_irregularity
124064490_1773812164600000,aligned,misaligned
124070726_1773813044400000,aligned,misaligned
124523707_1773885656700000,curb_like,wheel_stop
124686503_1773925469600000,aligned,misaligned
124923363_1773986628900000,aligned,misaligned
125115916_1774006389347474,no,yes
125115916_1774006389347474,other_obstacle,ground_irregularity
125178709_1774020084600000,aligned,misaligned
125868140_1774146633200000,ground_irregularity,curb_like
126662861_1774332079500000,other_obstacle,curb_like
126668725_1774332742800000,aligned,misaligned
126668725_1774332742800000,ground_irregularity,other_obstacle
126731192_1774340760600000,misaligned,aligned
127086957_1774418305800000,aligned,misaligned
127088028_1774418472300000,aligned,misaligned
127088300_1774418522100000,aligned,misaligned
127145400_1774425576400000,aligned,misaligned
127859040_1774579713800000,other_obstacle,ground_irregularity
127859040_1774579716737810,misaligned,aligned
127962470_1774593552100000,other_obstacle,curb_like
128257548_1774593816900000,aligned,misaligned
129246971_1774838555500000,aligned,misaligned
129246971_1774838555500000,ground_irregularity,other_obstacle
129267160_1774840909700000,curb_like,other_obstacle
129269477_1774841391700000,aligned,misaligned
129710987_1774927748500000,aligned,misaligned
129778891_1774924459000000,aligned,misaligned
129801980_1774940005900000,aligned,misaligned
130009539_1774957933200000,aligned,misaligned
130025077_1774963340700000,aligned,misaligned
130324769_1775027252600000,other_obstacle,curb_like
130512697_1775045909900000,misaligned,aligned
130518460_1775046847300000,aligned,misaligned
130907258_1775120002700000,aligned,misaligned
130977498_1775101493400000,other_obstacle,wheel_stop
131608522_1775201317600000,aligned,misaligned
132029901_1775284872500000,yes,no
132202464_1775298319071847,aligned,misaligned
132261025_1775304541800000,aligned,misaligned
132438154_1775355515800000,aligned,misaligned
132555527_1775299933200000,curb_like,other_obstacle
132659168_1775374340400000,yes,no
132724615_1775379252600000,aligned,misaligned
132835723_1775389295500000,aligned,misaligned
132835723_1775389295500000,other_obstacle,wheel_stop
132853477_1775391555700000,aligned,misaligned
134383783_1641001550300000,curb_like,other_obstacle
135244124_1775818678400000,aligned,misaligned
136708711_1776084207300000,misaligned,aligned
136720577_1776082419000000,misaligned,aligned
137588204_1776244891900000,aligned,misaligned
137878256_1776318786435417,misaligned,aligned
137931900_1776324005400000,curb_like,other_obstacle
138423697_1776408910900000,aligned,misaligned
139482711_1776582297800000,wheel_stop,other_obstacle
139654263_1776599004400000,aligned,misaligned
140500880_1776758764500000,aligned,misaligned
140993175_1776844831600000,no,yes
140993175_1776844831600000,misaligned,aligned
141345623_1776913777600000,aligned,misaligned
141488370_1776930522400000,aligned,misaligned
141812306_1776997873600000,misaligned,aligned
142059996_1777017083900000,aligned,misaligned
142316967_1777083550952240,other_obstacle,ground_irregularity
142582699_1777099129400000,curb_like,other_obstacle
143006911_1777189209400000,misaligned,aligned
143354718_1777259668300000,aligned,misaligned
143463264_1777272152700000,wheel_stop,other_obstacle
143696488_1777304020800000,misaligned,aligned
143828175_1641002097400000,no,yes
144013615_1641023635700000,aligned,misaligned
144275644_1777085923200000,aligned,misaligned
144810291_1777475029300000,aligned,misaligned
144899499_1777358880300000,aligned,misaligned
144899520_1777359130300000,aligned,misaligned
145304629_1777538156500000,aligned,misaligned
145706708_1777605192100000,wheel_stop,other_obstacle
145912635_1777616741500000,aligned,misaligned
146016045_1777622744000000,misaligned,aligned
146119325_1777614559400000,aligned,misaligned
147173571_1777778020300000,aligned,misaligned
147726523_1777775253100000,aligned,misaligned
147858217_1777863202100000,aligned,misaligned
149005483_1777961894500000,aligned,misaligned
149005483_1777961894500000,curb_like,other_obstacle
149008180_1641011982900000,aligned,misaligned
150735417_1778250582400000,aligned,misaligned
150735417_1778250582400000,other_obstacle,wheel_stop
151690001_1778317449800000,misaligned,aligned
153488794_1778743715500000,misaligned,aligned
153488794_1778743715500000,other_obstacle,wheel_stop
153527440_1778747081400000,curb_like,wheel_stop
153541218_1778748655800000,aligned,misaligned
153653262_1641000053000000,curb_like,other_obstacle
153831022_1778768227800000,misaligned,aligned
154046401_1778832661500000,aligned,misaligned
154046401_1778832661500000,wheel_stop,other_obstacle
154079750_1778747737500000,other_obstacle,wheel_stop
154421678_1778897924000000,curb_like,other_obstacle
154450563_1778900902400000,other_obstacle,curb_like
154601372_1778914333300000,other_obstacle,wheel_stop
154926544_1778910664600000,misaligned,aligned
155255267_1779005305400000,wheel_stop,curb_like
155813286_1779098364200000,aligned,misaligned
156120302_1779103684200000,misaligned,aligned
156120302_1779103684200000,other_obstacle,ground_irregularity
156141731_1779115063900000,curb_like,ground_irregularity
156249850_1779173895100000,aligned,misaligned
156249850_1779173895100000,wheel_stop,ground_irregularity
156255732_1779174345500000,aligned,misaligned
156348863_1779183531600000,wheel_stop,other_obstacle
